product_title,folder_name,issn_electronic,start_year,end_year,publisher_name,das_required,das_encouraged
BMC Biophysics,BMC_Biophys,2046-1682,2011,0,BioMed Central,01-May-15,01-Oct-12
BMC Biotechnology,BMC_Biotechnol,1472-6750,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Cancer,BMC_Cancer,1471-2407,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Cardiovascular Disorders,BMC_Cardiovasc_Disord,1471-2261,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Cell Biology,BMC_Cell_Biol,1471-2121,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Chemical Biology,BMC_Chem_Biol,1472-6769,2009,2013,BioMed Central,01-May-15,01-Oct-12
BMC Chemical Engineering,,2524-4175,2019,0,BioMed Central,01-May-15,01-Oct-12
BMC Clinical Pathology,BMC_Clin_Pathol,1472-6890,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Clinical Pharmacology,BMC_Clin_Pharmacol,1472-6904,2009,2012,BioMed Central,01-May-15,01-Oct-12
BMC Complementary and Alternative Medicine,BMC_Complement_Altern_Med,1472-6882,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Dermatology,BMC_Dermatol,1471-5945,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Developmental Biology,BMC_Dev_Biol,1471-213X,2009,0,BioMed Central,01-May-15,01-Oct-12
"BMC Ear, Nose and Throat Disorders",BMC_Ear_Nose_Throat_Disord,1472-6815,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Ecology,BMC_Ecol,1472-6785,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Emergency Medicine,BMC_Emerg_Med,1471-227X,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Endocrine Disorders,BMC_Endocr_Disord,1472-6823,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Energy,,2524-4469,2019,0,BioMed Central,01-May-15,01-Oct-12
BMC Evolutionary Biology,BMC_Evol_Biol,1471-2148,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Family Practice,BMC_Fam_Pract,1471-2296,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Gastroenterology,BMC_Gastroenterol,1471-230X,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Genetics,BMC_Genet,1471-2156,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Genomics,BMC_Genomics,1471-2164,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Geriatrics,BMC_Geriatr,1471-2318,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Health Services Research,BMC_Health_Serv_Res,1472-6963,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Hematology,BMC_Hematol,2052-1839,2013,0,BioMed Central,01-May-15,01-Oct-12
BMC Immunology,BMC_Immunol,1471-2172,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Infectious Diseases,BMC_Infect_Dis,1471-2334,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC International Health and Human Rights,BMC_Int_Health_Hum_Rights,1472-698X,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Materials,,2524-8138,2019,0,BioMed Central,01-May-15,01-Oct-12
BMC Mechanical Engineering,,2524-4949,2019,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Education,BMC_Med_Educ,1472-6920,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Ethics,BMC_Med_Ethics,1472-6939,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Genetics,BMC_Med_Genet,1471-2350,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Genomics,BMC_Med_Genomics,1755-8794,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Imaging,BMC_Med_Imaging,1471-2342,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Informatics and Decision Making,BMC_Med_Inform_Decis_Mak,1472-6947,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medical Physics,BMC_Med_Phys,1756-6649,2009,2014,BioMed Central,01-May-15,01-Oct-12
BMC Medical Research Methodology,BMC_Med_Res_Methodol,1471-2288,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Medicine,BMC_Med,1741-7015,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Meeting Abstracts,,2048-4623,2001,2004,BioMed Central,01-May-15,01-Oct-12
BMC Microbiology,BMC_Microbiol,1471-2180,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Molecular Biology,BMC_Mol_Biol,1471-2199,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Musculoskeletal Disorders,BMC_Musculoskelet_Disord,1471-2474,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Nephrology,BMC_Nephrol,1471-2369,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Neurology,BMC_Neurol,1471-2377,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Neuroscience,BMC_Neurosci,1471-2202,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC News and views,,1471-8219,2000,2001,BioMed Central,01-May-15,01-Oct-12
BMC Nursing,BMC_Nurs,1472-6955,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Nutrition,BMC_Nutr,2055-0928,2015,0,BioMed Central,01-May-15,01-Oct-12
BMC Obesity,BMC_Obes,2052-9538,2014,0,BioMed Central,01-May-15,01-Oct-12
BMC Ophthalmology,BMC_Ophthalmol,1471-2415,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Oral Health,BMC_Oral_Health,1472-6831,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Palliative Care,BMC_Palliat_Care,1472-684X,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Pediatrics,BMC_Pediatr,1471-2431,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Pharmacology,BMC_Pharmacol,1471-2210,2009,2012,BioMed Central,01-May-15,01-Oct-12
BMC Pharmacology and Toxicology,BMC_Pharmacol_Toxicol,2050-6511,2012,0,BioMed Central,01-May-15,01-Oct-12
BMC Physiology,BMC_Physiol,1472-6793,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Plant Biology,BMC_Plant_Biol,1471-2229,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Pregnancy and Childbirth,BMC_Pregnancy_Childbirth,1471-2393,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Proceedings,BMC_Proc,1753-6561,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Psychiatry,BMC_Psychiatry,1471-244X,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Psychology,BMC_Psychol,2050-7283,2013,0,BioMed Central,01-May-15,01-Oct-12
BMC Public Health,BMC_Public_Health,1471-2458,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Pulmonary Medicine,BMC_Pulm_Med,1471-2466,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Research Notes,BMC_Res_Notes,1756-0500,2009,0,BioMed Central,01-May-15,01-Aug-11
BMC Rheumatology,,2520-1026,2017,0,BioMed Central,01-May-15,01-Oct-12
"BMC Sports Science, Medicine and Rehabilitation",BMC_Sports_Sci_Med_Rehabil,2052-1847,2013,0,BioMed Central,01-May-15,01-Oct-12
BMC Structural Biology,BMC_Struct_Biol,1472-6807,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Surgery,BMC_Surg,1471-2482,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Systems Biology,BMC_Syst_Biol,1752-0509,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Urology,BMC_Urol,1471-2490,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Veterinary Research,BMC_Vet_Res,1746-6148,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Women's Health,BMC_Womens_Health,1472-6874,2009,0,BioMed Central,01-May-15,01-Oct-12
BMC Zoology,,2056-3132,2016,0,BioMed Central,01-May-15,01-Oct-12
Borderline Personality Disorder and Emotion Dysregulation,Borderline_Personal_Disord_Emot_Dysregul,2051-6673,2014,0,BioMed Central,01-May-15,01-May-15
Breast Cancer Research,Breast_Cancer_Res,1465-542X,2009,0,BioMed Central,01-May-15,01-May-15
Burns & Trauma,Burns_Trauma,2321-3876,2015,0,BioMed Central,01-May-15,01-May-15
Canadian Journal of Kidney Health and Disease,Can_J_Kidney_Health_Dis,2054-3581,2014,2016,BioMed Central,01-May-15,01-May-15
Cancer & Metabolism,Cancer_Metab,2049-3002,2013,0,BioMed Central,01-May-15,01-May-15
Cancer Cell International,Cancer_Cell_Int,1475-2867,2009,0,BioMed Central,01-May-15,01-May-15
Cancer Communications,Cancer_Commun_(Lond),2523-3548,2015,0,BioMed Central,01-May-15,01-May-15
Cancer Imaging,Cancer_Imaging,1470-7330,2014,0,BioMed Central,01-May-15,01-May-15
Cancers of the Head & Neck,Cancers_Head_Neck,2059-7347,2016,0,BioMed Central,01-May-15,01-May-15
Canine Genetics and Epidemiology,Canine_Genet_Epidemiol,2052-6687,2014,0,BioMed Central,01-May-15,01-May-15
Cardio-Oncology,Cardiooncology,2057-3804,2015,0,BioMed Central,01-May-15,01-May-15
Cardiovascular Diabetology,Cardiovasc_Diabetol,1475-2840,2009,0,BioMed Central,01-May-15,01-May-15
Cardiovascular Ultrasound,Cardiovasc_Ultrasound,1476-7120,2009,0,BioMed Central,01-May-15,01-May-15
Cases Journal,Cases_J,1757-1626,2009,2010,BioMed Central,01-May-15,01-May-15
Cell & Bioscience,Cell_Biosci,2045-3701,2011,0,BioMed Central,01-May-15,01-Dec-11
Cell & Chromosome,Cell_Chromosome,1475-9268,2002,2008,BioMed Central,01-May-15,01-May-15
Cell Communication and Signaling,Cell_Commun_Signal,1478-811X,2009,0,BioMed Central,01-May-15,01-Jan-12
Cell Division,Cell_Div,1747-1028,2009,0,BioMed Central,01-May-15,01-May-15
Cell Regeneration,Cell_Regen_(Lond),2045-9769,2011,2016,BioMed Central,01-May-15,01-May-15
Cellular & Molecular Biology Letters,Cell_Mol_Biol_Lett,1689-1392,2016,0,BioMed Central,01-May-15,01-May-15
Centrosome Research,,2045-6093,2011,2011,BioMed Central,01-May-15,01-May-15
Cerebellum & Ataxias,Cerebellum_Ataxias,2053-8871,2014,0,BioMed Central,01-May-15,01-May-15
Child and Adolescent Psychiatry and Mental Health,Child_Adolesc_Psychiatry_Ment_Health,1753-2000,2009,0,BioMed Central,01-May-15,01-May-15
Chinese Medicine,Chin_Med,1749-8546,2009,0,BioMed Central,01-May-15,01-May-15
Chinese Neurosurgical Journal,,2057-4967,2015,0,BioMed Central,01-May-15,01-May-15
Chiropractic & Manual Therapies,Chiropr_Man_Therap,2045-709X,2011,0,BioMed Central,01-May-15,01-May-15
Cilia,Cilia,2046-2530,2011,0,BioMed Central,01-May-15,01-Nov-12
Climate Change Responses,,2053-7565,2014,2018,BioMed Central,01-May-15,01-May-15
Clinical and Molecular Allergy,Clin_Mol_Allergy,1476-7961,2009,0,BioMed Central,01-May-15,01-May-15
Clinical and Translational Allergy,Clin_Transl_Allergy,2045-7022,2011,0,BioMed Central,01-May-15,01-May-15
Clinical Diabetes and Endocrinology,Clin_Diabetes_Endocrinol,2055-8260,2015,0,BioMed Central,01-May-15,01-May-15
Clinical Epigenetics,Clin_Epigenetics,1868-7083,2010,0,BioMed Central,01-May-15,01-Dec-11
Clinical Hypertension,Clin_Hypertens,2056-5909,2014,0,BioMed Central,01-May-15,01-May-15
Clinical Practice and Epidemiology in Mental Health,Clin_Pract_Epidemiol_Ment_Health,1745-0179,2009,2009,BioMed Central,01-May-15,01-May-15
Clinical Proteomics,Clin_Proteomics,1559-0275,2007,0,BioMed Central,01-May-15,01-May-15
Clinical Sarcoma Research,Clin_Sarcoma_Res,2045-3329,2011,0,BioMed Central,01-May-15,01-May-15
Comparative Hepatology,Comp_Hepatol,1476-5926,2009,2012,BioMed Central,01-May-15,01-May-15
Conflict and Health,Confl_Health,1752-1505,2009,0,BioMed Central,01-May-15,01-May-15
Contraception and Reproductive Medicine,Contracept_Reprod_Med,2055-7426,2015,0,BioMed Central,01-May-15,01-May-15
COPD Research and Practice,,2054-9040,2015,2017,BioMed Central,01-May-15,01-May-15
Cost Effectiveness and Resource Allocation,Cost_Eff_Resour_Alloc,1478-7547,2009,0,BioMed Central,01-May-15,01-May-15
Cough,Cough,1745-9974,2009,2014,BioMed Central,01-May-15,01-May-15
Critical Care,Crit_Care,1364-8535,2009,0,BioMed Central,01-May-15,01-May-15
Current Interventional Radiology,,2057-0074,2015,2015,BioMed Central,01-May-15,01-May-15
CytoJournal,Cytojournal,1742-6413,2004,2008,BioMed Central,01-May-15,01-May-15
Diabetology & Metabolic Syndrome,Diabetol_Metab_Syndr,1758-5996,2009,0,BioMed Central,01-May-15,01-May-15
Diagnostic and Prognostic Research,Diagn_Progn_Res,2397-7523,2017,0,BioMed Central,01-May-15,01-May-15
Diagnostic Pathology,Diagn_Pathol,1746-1596,2009,0,BioMed Central,01-May-15,01-May-15
Disaster and Military Medicine,Disaster_Mil_Med,2054-314X,2015,0,BioMed Central,01-May-15,01-May-15
Dynamic Medicine,Dyn_Med,1476-5918,2009,2009,BioMed Central,01-May-15,01-May-15
eHealth International,eHealth_Int,1476-3591,0,2002,BioMed Central,01-May-15,01-May-15
Emerging Themes in Epidemiology,Emerg_Themes_Epidemiol,1742-7622,2009,0,BioMed Central,01-May-15,01-May-15
Environmental Evidence,,2047-2382,2012,0,BioMed Central,01-May-15,01-May-15
Environmental Health,Environ_Health,1476-069X,2009,0,BioMed Central,01-May-15,01-May-15
Environmental Health and Preventive Medicine,Environ_Health_Prev_Med,1347-4715,2008,0,BioMed Central,01-May-15,01-May-15
Environmental Microbiome,,2524-6372,2014,0,BioMed Central,01-May-15,01-May-15
Epidemiologic Perspectives & Innovations,Epidemiol_Perspect_Innov,1742-5573,2009,2012,BioMed Central,01-May-15,01-May-15
Epigenetics & Chromatin,Epigenetics_Chromatin,1756-8935,2009,0,BioMed Central,01-May-15,01-May-15
Equitable Society,,2524-7603,2019,0,BioMed Central,01-May-15,01-May-15
European Journal of Medical Research,Eur_J_Med_Res,2047-783X,2012,0,BioMed Central,01-May-15,01-May-15
European Review of Aging and Physical Activity,Eur_Rev_Aging_Phys_Act,1861-6909,2006,0,BioMed Central,01-May-15,01-May-15
EvoDevo,EvoDevo,2041-9139,2009,0,BioMed Central,01-May-15,01-May-15
Experimental & Translational Stroke Medicine,Exp_Transl_Stroke_Med,2040-7378,2009,2016,BioMed Central,01-May-15,01-May-15
Experimental Hematology & Oncology,Exp_Hematol_Oncol,2162-3619,2012,0,BioMed Central,01-May-15,01-May-15
ExRNA,,2398-0060,2019,0,BioMed Central,01-May-15,01-May-15
Extreme Physiology & Medicine,Extrem_Physiol_Med,2046-7648,2012,2018,BioMed Central,01-May-15,01-Jan-12
Eye and Vision,Eye_Vis_(Lond),2326-0254,2014,0,BioMed Central,01-May-15,01-May-15
Fertility Research and Practice,Fertil_Res_Pract,2054-7099,2015,0,BioMed Central,01-May-15,01-May-15
Fibrogenesis & Tissue Repair,Fibrogenesis_Tissue_Repair,1755-1536,2009,2016,BioMed Central,01-May-15,01-May-15
Filaria Journal,Filaria_J,1475-2883,0,2007,BioMed Central,01-May-15,01-May-15
Fisheries and Aquatic Sciences,,2234-1757,2016,0,BioMed Central,01-May-15,01-May-15
Flavour,,2044-7248,2011,2017,BioMed Central,01-May-15,01-Jan-12
Fluids and Barriers of the CNS,Fluids_Barriers_CNS,2045-8118,2011,0,BioMed Central,01-May-15,01-May-15
Frontiers in Zoology,Front_Zool,1742-9994,2009,0,BioMed Central,01-May-15,01-Dec-11
Fungal Biology and Biotechnology,Fungal_Biol_Biotechnol,2054-3085,2014,0,BioMed Central,01-May-15,01-May-15
Genes & Nutrition,Genes_Nutr,1865-3499,2007,0,BioMed Central,01-May-15,01-May-15
Genes and Environment,Genes_Environ,1880-7062,2015,0,BioMed Central,01-May-15,01-May-15
Genetic Vaccines and Therapy,Genet_Vaccines_Ther,1479-0556,2009,2012,BioMed Central,01-May-15,01-May-15
Genetics Selection Evolution,Genet_Sel_Evol,1297-9686,2009,0,BioMed Central,01-May-15,01-May-15
Genome Biology,Genome_Biol,1474-760X,2009,0,BioMed Central,01-May-15,01-May-15
Genome Integrity,Genome_Integr,2041-9414,2010,2014,BioMed Central,01-May-15,01-May-15
Genome Medicine,Genome_Med,1756-994X,2009,0,BioMed Central,01-May-15,01-May-15
GigaScience,Gigascience,2047-217X,2012,2016,BioMed Central,01-Jul-11,01-Jul-11
Global Health Research and Policy,Glob_Health_Res_Policy,2397-0642,2016,0,BioMed Central,01-May-15,01-May-15
Globalization and Health,Global_Health,1744-8603,2009,0,BioMed Central,01-May-15,01-May-15
Gut Pathogens,Gut_Pathog,1757-4749,2009,0,BioMed Central,01-May-15,01-Nov-11
Gynecologic Oncology Research and Practice,Gynecol_Oncol_Res_Pract,2053-6844,2014,0,BioMed Central,01-May-15,01-May-15
Hard Tissue,,2050-2303,2012,2012,BioMed Central,01-May-15,01-May-15
Harm Reduction Journal,Harm_Reduct_J,1477-7517,2009,0,BioMed Central,01-May-15,01-May-15
Head & Face Medicine,Head_Face_Med,1746-160X,2009,0,BioMed Central,01-May-15,01-May-15
Head & Neck Oncology,Head_Neck_Oncol,1758-3284,2009,2012,BioMed Central,01-May-15,01-May-15
Health and Quality of Life Outcomes,Health_Qual_Life_Outcomes,1477-7525,2009,0,BioMed Central,01-May-15,01-May-15
Health Research Policy and Systems,Health_Res_Policy_Syst,1478-4505,2009,0,BioMed Central,01-May-15,01-May-15
Helgoland Marine Research,,1438-3888,1999,0,BioMed Central,01-May-15,01-May-15
"Hepatology, Medicine and Policy",Hepatol_Med_Policy,2059-5166,2016,0,BioMed Central,01-May-15,01-May-15
Hereditary Cancer in Clinical Practice,Hered_Cancer_Clin_Pract,1897-4287,2009,0,BioMed Central,01-May-15,01-May-15
Hereditas,Hereditas,1601-5223,2015,0,BioMed Central,01-May-15,01-May-15
Herpesviridae,Herpesviridae,2042-4280,2009,2014,BioMed Central,01-May-15,01-May-15
Human Genomics,Hum_Genomics,1479-7364,2012,0,BioMed Central,01-May-15,01-May-15
Human Resources for Health,Hum_Resour_Health,1478-4491,2009,0,BioMed Central,01-May-15,01-May-15
Immunity & Ageing,Immun_Ageing,1742-4933,2009,0,BioMed Central,01-May-15,01-May-15
Immunome Research,Immunome_Res,1745-7580,2009,2010,BioMed Central,01-May-15,01-May-15
Implementation Science,Implement_Sci,1748-5908,2009,0,BioMed Central,01-May-15,01-Feb-12
Infectious Agents and Cancer,Infect_Agent_Cancer,1750-9378,2009,0,BioMed Central,01-May-15,01-May-15
Infectious Diseases of Poverty,Infect_Dis_Poverty,2049-9957,2013,0,BioMed Central,01-May-15,01-May-15
Inflammation and Regeneration,Inflamm_Regen,1880-8190,2016,0,BioMed Central,01-May-15,01-May-15
Innovation and Education,,2524-8502,2019,0,BioMed Central,01-May-15,01-May-15
International Archives of Medicine,Int_Arch_Med,1755-7682,2009,2014,BioMed Central,01-May-15,01-May-15
International Breastfeeding Journal,Int_Breastfeed_J,1746-4358,2009,0,BioMed Central,01-May-15,01-May-15
International Journal for Equity in Health,Int_J_Equity_Health,1475-9276,2009,0,BioMed Central,01-May-15,01-May-15
International Journal of Arrhythmia,,2466-1171,2018,0,BioMed Central,01-May-15,01-May-15
International Journal of Behavioral Nutrition and Physical Activity,Int_J_Behav_Nutr_Phys_Act,1479-5868,2009,0,BioMed Central,01-May-15,01-May-15
International Journal of Health Geographics,Int_J_Health_Geogr,1476-072X,2009,0,BioMed Central,01-May-15,01-May-15
International Journal of Mental Health Systems,Int_J_Ment_Health_Syst,1752-4458,2009,0,BioMed Central,01-May-15,01-May-15
International Journal of Pediatric Endocrinology,Int_J_Pediatr_Endocrinol,1687-9856,2011,0,BioMed Central,01-May-15,01-May-15
International Journal of Retina and Vitreous,Int_J_Retina_Vitreous,2056-9920,2015,0,BioMed Central,01-May-15,01-May-15
International Seminars in Surgical Oncology,Int_Semin_Surg_Oncol,1477-7800,2009,2010,BioMed Central,01-May-15,01-May-15
Investigative Genetics,Investig_Genet,2041-2223,2010,2016,BioMed Central,01-May-15,01-May-15
Irish Veterinary Journal,Ir_Vet_J,2046-0481,2011,0,BioMed Central,01-May-15,01-May-15
Israel Journal of Health Policy Research,Isr_J_Health_Policy_Res,2045-4015,2012,0,BioMed Central,01-May-15,01-May-15
ISRCTN registry,,1747-4744,2009,0,BioMed Central,01-May-15,01-May-15
Italian Journal of Pediatrics,Ital_J_Pediatr,1824-7288,2009,0,BioMed Central,01-May-15,01-May-15
Journal for ImmunoTherapy of Cancer,J_Immunother_Cancer,2051-1426,2013,0,BioMed Central,01-May-15,01-May-15
Journal of Animal Science and Biotechnology,J_Anim_Sci_Biotechnol,2049-1891,2012,0,BioMed Central,01-May-15,01-May-15
Journal of Animal Science and Technology,J_Anim_Sci_Technol,2055-0391,2014,0,BioMed Central,01-May-15,01-May-15
Journal of Autoimmune Diseases,J_Autoimmune_Dis,1740-2557,2009,2009,BioMed Central,01-May-15,01-May-15
Journal of Biological Engineering,J_Biol_Eng,1754-1611,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Biological Research-Thessaloniki,J_Biol_Res_(Thessalon),2241-5793,2014,0,BioMed Central,01-May-15,01-May-15
Journal of Biology,J_Biol,1475-4924,2009,2010,BioMed Central,01-May-15,01-May-15
Journal of Biomedical Discovery and Collaboration,J_Biomed_Discov_Collab,1747-5333,2009,2009,BioMed Central,01-May-15,01-May-15
Journal of Biomedical Science,J_Biomed_Sci,1423-0127,2009,0,BioMed Central,01-May-15,01-May-15
Journal of Biomedical Semantics,J_Biomed_Semantics,2041-1480,2010,0,BioMed Central,01-May-15,01-May-15
Journal of Bioscience and Medicine,J_Biosci_Med_(Irvine),2161-2625,2012,2014,BioMed Central,01-May-15,01-May-15
Journal of Brachial Plexus and Peripheral Nerve Injury,J_Brachial_Plex_Peripher_Nerve_Inj,1749-7221,2009,2014,BioMed Central,01-May-15,01-May-15
