"j_lower","das_class","N","has_das","das_encouraged","das_required"
"annals of occupational and environmental medicine",3,11,11,0,11
"annals of surgical innovation and research",0,82,0,0,10
"antimicrobial resistance and infection control",0,275,21,0,136
"antimicrobial resistance and infection control",1,180,180,0,180
"antimicrobial resistance and infection control",2,67,67,0,67
"antimicrobial resistance and infection control",3,16,16,0,15
"aquatic biosystems",0,57,0,0,0
"archives of physiotherapy",0,23,3,0,23
"archives of physiotherapy",1,15,15,0,15
"archives of physiotherapy",2,3,3,0,3
"archives of public health",0,254,19,0,91
"archives of public health",1,100,100,0,99
"archives of public health",2,15,15,0,15
"archives of public health",3,17,17,0,17
"arthritis research & therapy",0,3166,88,0,552
"arthritis research & therapy",1,401,401,0,400
"arthritis research & therapy",2,99,99,0,99
"arthritis research & therapy",3,26,26,0,26
"asia pacific family medicine",0,80,0,0,10
"asia pacific family medicine",1,14,14,0,14
"asia pacific family medicine",2,2,2,0,2
"asthma research and practice",0,12,2,0,12
"asthma research and practice",1,9,9,0,9
"asthma research and practice",2,1,1,0,1
"asthma research and practice",3,1,1,0,1
"australia and new zealand health policy",0,122,0,0,0
"basic and clinical andrology",0,39,5,0,19
"basic and clinical andrology",1,12,12,0,12
"basic and clinical andrology",2,9,9,0,9
"behavioral and brain functions",0,556,1,0,36
"behavioral and brain functions",1,33,33,0,33
"behavioral and brain functions",2,6,6,0,5
"behavioral and brain functions",3,3,3,0,3
"beilstein journal of organic chemistry",0,2278,0,0,897
"biodata mining",0,166,1,0,46
"biodata mining",1,24,24,0,23
"biodata mining",2,7,7,0,7
"biodata mining",3,46,46,0,46
"biological procedures online",0,246,8,0,29
"biological procedures online",1,13,13,0,13
"biological procedures online",2,5,5,0,5
"biological procedures online",3,7,7,0,7
"biological research",0,193,17,92,101
"biological research",1,23,23,0,23
"biological research",2,43,43,1,42
"biological research",3,4,4,0,4
"biology direct",0,506,21,0,99
"biology direct",1,14,14,0,13
"biology direct",2,17,17,0,17
"biology direct",3,22,22,0,22
"biology of mood & anxiety disorders",0,54,0,0,2
"biology of sex differences",0,123,10,0,60
"biology of sex differences",1,67,67,0,67
"biology of sex differences",2,17,17,0,17
"biology of sex differences",3,13,13,0,13
"biomagnetic research and technology",0,24,0,0,0
"biomarker research",0,75,12,0,38
"biomarker research",1,25,25,0,25
"biomarker research",2,15,15,0,15
"biomarker research",3,3,3,0,3
"biomaterials research",0,42,9,0,33
"biomaterials research",1,25,25,0,23
"biomaterials research",2,37,37,0,29
"biomaterials research",3,1,1,0,1
"biomedical digital libraries",0,17,0,0,0
"biomedical engineering online",0,1114,20,0,233
"biomedical engineering online",1,234,234,0,234
"biomedical engineering online",2,49,49,0,49
"biomedical engineering online",3,36,36,0,36
"biopsychosocial medicine",0,177,16,0,42
"biopsychosocial medicine",1,26,26,0,26
"biopsychosocial medicine",2,8,8,0,8
"biotechnology for biofuels",0,1059,39,0,441
"biotechnology for biofuels",1,175,175,0,175
"biotechnology for biofuels",2,301,301,0,301
"biotechnology for biofuels",3,125,125,0,125
"bmc anesthesiology",0,568,13,242,173
"bmc anesthesiology",1,351,351,0,351
"bmc anesthesiology",2,68,68,0,68
"bmc anesthesiology",3,12,12,0,12
"bmc biochemistry",0,466,1,61,17
"bmc biochemistry",1,21,21,2,19
"bmc biochemistry",2,33,33,9,24
"bmc biochemistry",3,2,2,0,2
"bmc bioinformatics",0,7417,45,1300,688
"bmc bioinformatics",1,459,459,29,407
"bmc bioinformatics",2,247,247,29,213
"bmc bioinformatics",3,791,791,43,737
"bmc biology",0,1022,17,229,183
"bmc biology",1,51,51,2,47
"bmc biology",2,94,94,1,93
"bmc biology",3,112,112,7,105
"bmc biophysics",0,71,0,28,5
"bmc biophysics",1,8,8,0,8
"bmc biophysics",2,13,13,3,10
"bmc biophysics",3,3,3,0,3
"bmc biotechnology",0,1139,6,239,115
"bmc biotechnology",1,91,91,0,91
"bmc biotechnology",2,103,103,7,96
"bmc biotechnology",3,46,46,3,43
"bmc cancer",0,6737,171,1925,1231
"bmc cancer",1,1706,1706,1,1705
"bmc cancer",2,676,676,1,675
"bmc cancer",3,188,188,8,179
"bmc cardiovascular disorders",0,1165,47,346,280
"bmc cardiovascular disorders",1,474,474,0,473
"bmc cardiovascular disorders",2,150,150,0,150
"bmc cardiovascular disorders",3,30,30,0,30
"bmc cell biology",0,773,0,107,26
"bmc cell biology",1,32,32,0,32
"bmc cell biology",2,38,38,2,36
"bmc cell biology",3,10,10,2,8
"bmc chemical biology",0,39,0,0,0
"bmc clinical pathology",0,232,12,79,34
"bmc clinical pathology",1,28,28,0,28
"bmc clinical pathology",2,13,13,0,13
"bmc clinical pharmacology",0,133,0,0,0
"bmc clinical pharmacology",1,1,1,0,0
"bmc complementary and alternative medicine",0,2261,27,1012,487
"bmc complementary and alternative medicine",1,605,605,0,605
"bmc complementary and alternative medicine",2,566,566,0,566
"bmc complementary and alternative medicine",3,43,43,1,42
"bmc dermatology",0,198,6,34,23
"bmc dermatology",1,19,19,0,19
"bmc dermatology",2,12,12,0,12
"bmc dermatology",3,1,1,0,1
"bmc developmental biology",0,852,1,98,41
"bmc developmental biology",1,21,21,1,19
"bmc developmental biology",2,34,34,3,31
"bmc developmental biology",3,21,21,4,16
"bmc ear, nose and throat disorders",0,136,4,24,20
"bmc ear, nose and throat disorders",1,19,19,0,19
"bmc ear, nose and throat disorders",2,6,6,0,6
"bmc ear, nose and throat disorders",3,5,5,1,4
"bmc ecology",0,304,0,68,20
"bmc ecology",1,60,60,2,58
"bmc ecology",2,54,54,4,50
"bmc ecology",3,53,53,14,39
"bmc emergency medicine",0,309,9,61,94
"bmc emergency medicine",1,99,99,0,99
"bmc emergency medicine",2,12,12,0,12
"bmc emergency medicine",3,2,2,0,2
"bmc endocrine disorders",0,420,12,175,93
"bmc endocrine disorders",1,156,156,0,156
"bmc endocrine disorders",2,40,40,0,40
"bmc endocrine disorders",3,10,10,0,10
"bmc evolutionary biology",0,2716,4,347,141
"bmc evolutionary biology",1,108,108,7,99
"bmc evolutionary biology",2,286,286,56,229
"bmc evolutionary biology",3,714,714,213,493
"bmc family practice",0,1436,15,445,200
"bmc family practice",1,358,358,7,351
"bmc family practice",2,41,41,1,40
"bmc family practice",3,7,7,0,7
"bmc gastroenterology",0,1548,29,449,235
"bmc gastroenterology",1,287,287,0,287
"bmc gastroenterology",2,91,91,0,91
"bmc gastroenterology",3,9,9,0,9
"bmc genetics",0,1487,1,324,94
"bmc genetics",1,136,136,5,130
"bmc genetics",2,157,157,11,146
"bmc genetics",3,137,137,14,123
"bmc genomics",0,7530,34,1883,728
"bmc genomics",1,417,417,34,371
"bmc genomics",2,760,760,160,598
"bmc genomics",3,2884,2884,686,2148
"bmc geriatrics",0,1190,48,323,249
"bmc geriatrics",1,578,578,1,577
"bmc geriatrics",2,55,55,0,55
"bmc geriatrics",3,27,27,0,27
"bmc health services research",0,4437,135,1403,753
"bmc health services research",1,1842,1842,8,1830
"bmc health services research",2,209,209,1,208
"bmc health services research",3,72,72,0,72
"bmc hematology",0,58,4,29,29
"bmc hematology",1,54,54,0,54
"bmc hematology",2,15,15,0,15
"bmc hematology",3,1,1,0,1
"bmc immunology",0,692,9,142,59
"bmc immunology",1,68,68,0,68
"bmc immunology",2,48,48,1,47
"bmc immunology",3,10,10,0,9
"bmc infectious diseases",0,4301,105,1543,674
"bmc infectious diseases",1,1323,1323,2,1320
"bmc infectious diseases",2,451,451,2,449
"bmc infectious diseases",3,153,153,5,148
"bmc international health and human rights",0,378,13,93,56
"bmc international health and human rights",1,63,63,0,62
"bmc international health and human rights",2,8,8,0,8
"bmc international health and human rights",3,7,7,0,7
"bmc medical education",0,1512,26,530,312
"bmc medical education",1,611,611,1,610
"bmc medical education",2,93,93,1,92
"bmc medical education",3,23,23,0,23
"bmc medical ethics",0,470,37,164,134
"bmc medical ethics",1,131,131,3,124
"bmc medical ethics",2,26,26,0,26
"bmc medical ethics",3,12,12,0,12
"bmc medical genetics",0,1477,7,296,150
"bmc medical genetics",1,248,248,1,247
"bmc medical genetics",2,114,114,0,113
"bmc medical genetics",3,38,38,0,38
"bmc medical genomics",0,674,9,202,127
"bmc medical genomics",1,101,101,0,99
"bmc medical genomics",2,41,41,1,40
"bmc medical genomics",3,114,114,7,106
"bmc medical imaging",0,341,4,93,82
"bmc medical imaging",1,125,125,0,125
"bmc medical imaging",2,24,24,0,24
"bmc medical imaging",3,7,7,0,7
"bmc medical informatics and decision making",0,1106,31,299,198
"bmc medical informatics and decision making",1,314,314,2,307
"bmc medical informatics and decision making",2,39,39,1,38
"bmc medical informatics and decision making",3,35,35,0,35
"bmc medical physics",0,25,0,7,0
"bmc medical research methodology",0,1315,44,303,147
"bmc medical research methodology",1,294,294,3,290
"bmc medical research methodology",2,64,64,1,63
"bmc medical research methodology",3,29,29,0,28
"bmc medicine",0,1431,43,473,383
"bmc medicine",1,290,290,1,288
"bmc medicine",2,54,54,0,54
"bmc medicine",3,31,31,1,30
"bmc microbiology",0,2783,6,662,249
"bmc microbiology",1,211,211,2,208
"bmc microbiology",2,245,245,19,226
"bmc microbiology",3,293,293,41,251
"bmc molecular biology",0,747,0,57,20
"bmc molecular biology",1,25,25,0,25
"bmc molecular biology",2,18,18,0,18
"bmc molecular biology",3,16,16,3,12
"bmc musculoskeletal disorders",0,3078,82,916,576
"bmc musculoskeletal disorders",1,975,975,0,975
"bmc musculoskeletal disorders",2,202,202,0,202
"bmc musculoskeletal disorders",3,23,23,0,23
"bmc nephrology",0,1277,49,542,307
"bmc nephrology",1,618,618,0,617
"bmc nephrology",2,136,136,0,136
"bmc nephrology",3,30,30,0,30
"bmc neurology",0,1567,45,525,325
"bmc neurology",1,404,404,0,402
"bmc neurology",2,143,143,1,142
"bmc neurology",3,15,15,1,14
"bmc neuroscience",0,3285,3,940,392
"bmc neuroscience",1,135,135,0,134
"bmc neuroscience",2,54,54,1,53
"bmc neuroscience",3,27,27,4,22
"bmc nursing",0,303,7,96,79
"bmc nursing",1,139,139,0,139
"bmc nursing",2,22,22,0,22
"bmc nursing",3,1,1,0,1
"bmc nutrition",0,6,0,0,6
"bmc obesity",0,87,0,36,51
"bmc obesity",1,100,100,0,100
"bmc obesity",2,11,11,0,11
"bmc obesity",3,6,6,0,6
"bmc ophthalmology",0,824,24,290,238
"bmc ophthalmology",1,482,482,0,482
"bmc ophthalmology",2,223,223,0,223
"bmc ophthalmology",3,13,13,0,13
"bmc oral health",0,746,11,275,208
"bmc oral health",1,356,356,1,355
"bmc oral health",2,64,64,1,63
"bmc oral health",3,19,19,0,19
"bmc palliative care",0,374,18,116,119
"bmc palliative care",1,217,217,0,217
"bmc palliative care",2,12,12,0,12
"bmc palliative care",3,3,3,0,3
"bmc pediatrics",0,1605,33,556,317
"bmc pediatrics",1,549,549,6,542
"bmc pediatrics",2,103,103,1,102
"bmc pediatrics",3,23,23,1,22
"bmc pharmacology",0,356,0,0,0
"bmc pharmacology & toxicology",0,331,10,194,109
"bmc pharmacology & toxicology",1,134,134,0,134
"bmc pharmacology & toxicology",2,52,52,0,52
"bmc pharmacology & toxicology",3,11,11,1,10
"bmc physiology",0,236,0,29,6
"bmc physiology",1,11,11,0,11
"bmc physiology",2,4,4,0,4
"bmc plant biology",0,1832,7,506,128
"bmc plant biology",1,229,229,5,223
"bmc plant biology",2,425,425,81,344
"bmc plant biology",3,527,527,124,400
"bmc pregnancy and childbirth",0,1884,58,787,473
"bmc pregnancy and childbirth",1,942,942,1,941
"bmc pregnancy and childbirth",2,114,114,0,114
"bmc pregnancy and childbirth",3,38,38,1,37
"bmc proceedings",0,1747,17,544,225
"bmc proceedings",1,56,56,0,53
"bmc psychiatry",0,2205,88,773,411
"bmc psychiatry",1,914,914,1,913
"bmc psychiatry",2,93,93,1,92
"bmc psychiatry",3,21,21,0,21
"bmc psychology",0,137,16,72,65
"bmc psychology",1,107,107,0,107
"bmc psychology",2,10,10,1,9
"bmc psychology",3,7,7,0,7
"bmc public health",0,9309,229,2966,1513
"bmc public health",1,2487,2487,15,2460
"bmc public health",2,251,251,1,249
"bmc public health",3,187,187,1,185
"bmc pulmonary medicine",0,901,29,319,212
"bmc pulmonary medicine",1,381,381,1,380
"bmc pulmonary medicine",2,84,84,0,84
"bmc pulmonary medicine",3,23,23,1,22
"bmc research notes",0,4500,71,2178,1012
"bmc research notes",1,1144,1144,40,1100
"bmc research notes",2,619,619,82,532
"bmc research notes",3,289,289,80,203
"bmc sports science, medicine and rehabilitation",0,115,7,71,44
"bmc sports science, medicine and rehabilitation",1,50,50,0,50
"bmc sports science, medicine and rehabilitation",2,14,14,0,14
"bmc sports science, medicine and rehabilitation",3,4,4,0,4
"bmc structural biology",0,505,0,68,9
"bmc structural biology",1,17,17,0,16
"bmc structural biology",2,19,19,4,15
"bmc structural biology",3,24,24,3,21
"bmc surgery",0,746,18,326,136
"bmc surgery",1,172,172,0,172
"bmc surgery",2,87,87,0,87
"bmc surgery",3,2,2,0,2
"bmc systems biology",0,1485,21,388,145
"bmc systems biology",1,108,108,9,97
"bmc systems biology",2,179,179,14,165
"bmc systems biology",3,123,123,14,106
"bmc urology",0,579,18,202,146
"bmc urology",1,196,196,1,195
"bmc urology",2,43,43,0,43
"bmc urology",3,6,6,1,5
"bmc veterinary research",0,1540,15,649,322
"bmc veterinary research",1,567,567,5,562
"bmc veterinary research",2,322,322,13,309
"bmc veterinary research",3,114,114,10,104
"bmc women's health",0,690,13,244,136
"bmc women's health",1,312,312,0,312
"bmc women's health",2,26,26,0,26
"bmc women's health",3,17,17,0,17
"borderline personality disorder and emotion dysregulation",0,29,3,0,11
"borderline personality disorder and emotion dysregulation",1,42,42,0,42
"borderline personality disorder and emotion dysregulation",2,1,1,0,1
"borderline personality disorder and emotion dysregulation",3,2,2,0,2
"breast cancer research",0,2347,25,0,223
"breast cancer research",1,153,153,0,153
"breast cancer research",2,57,57,0,56
"breast cancer research",3,45,45,0,44
"burns & trauma",0,65,6,0,40
"burns & trauma",1,38,38,0,38
"burns & trauma",2,5,5,0,5
"burns & trauma",3,1,1,0,1
"canadian journal of kidney health and disease",0,191,0,0,158
"canadian journal of kidney health and disease",1,4,4,0,4
"cancer & metabolism",0,84,2,0,18
"cancer & metabolism",1,13,13,0,13
"cancer & metabolism",2,21,21,0,18
"cancer & metabolism",3,6,6,0,5
"cancer cell international",0,772,48,0,201
"cancer cell international",1,139,139,0,139
"cancer cell international",2,110,110,0,110
"cancer cell international",3,13,13,0,13
"cancer communications",0,10,9,0,10
"cancer communications",1,21,21,0,21
"cancer communications",2,8,8,0,8
"cancer communications",3,21,21,0,21
"cancer imaging",0,557,15,0,71
"cancer imaging",1,61,61,0,61
"cancer imaging",2,15,15,0,15
"cancer imaging",3,3,3,0,3
"cancers of the head & neck",0,3,0,0,3
"canine genetics and epidemiology",0,20,0,0,12
"canine genetics and epidemiology",1,19,19,0,19
"canine genetics and epidemiology",2,8,8,0,6
"canine genetics and epidemiology",3,8,8,0,8
"cardio-oncology",0,5,0,0,5
"cardiovascular diabetology",0,1182,43,0,274
"cardiovascular diabetology",1,210,210,0,210
"cardiovascular diabetology",2,50,50,0,50
"cardiovascular diabetology",3,9,9,0,9
"cardiovascular ultrasound",0,569,3,0,66
"cardiovascular ultrasound",1,46,46,0,46
"cardiovascular ultrasound",2,10,10,0,10
"cardiovascular ultrasound",3,1,1,0,1
"cases journal",0,1574,0,0,0
"cell & bioscience",0,241,25,108,110
"cell & bioscience",1,34,34,1,33
"cell & bioscience",2,20,20,0,20
"cell & bioscience",3,9,9,0,9
"cell & chromosome",0,7,0,0,0
"cell communication and signaling",0,333,19,201,55
"cell communication and signaling",1,34,34,0,34
"cell communication and signaling",2,67,67,5,62
"cell communication and signaling",3,15,15,0,15
"cell division",0,116,2,0,10
"cell division",1,2,2,0,2
"cell division",2,8,8,0,8
"cell division",3,1,1,0,1
"cell regeneration",0,33,1,0,13
"cell regeneration",3,2,2,0,1
"cellular & molecular biology letters",0,380,17,0,30
"cellular & molecular biology letters",1,27,27,0,27
"cellular & molecular biology letters",2,31,31,0,31
"cellular & molecular biology letters",3,6,6,0,6
"cerebellum & ataxias",0,44,7,0,28
"cerebellum & ataxias",1,19,19,0,19
"cerebellum & ataxias",2,5,5,0,5
"cerebellum & ataxias",3,1,1,0,1
"child and adolescent psychiatry and mental health",0,313,7,0,70
"child and adolescent psychiatry and mental health",1,103,103,0,103
"child and adolescent psychiatry and mental health",2,9,9,0,9
"child and adolescent psychiatry and mental health",3,4,4,0,4
"chinese medicine",0,248,1,0,75
"chinese medicine",1,34,34,0,34
"chinese medicine",2,24,24,0,24
"chinese medicine",3,3,3,0,3
"chiropractic & manual therapies",0,208,16,0,71
"chiropractic & manual therapies",1,40,40,0,40
"chiropractic & manual therapies",2,7,7,0,7
"chiropractic & manual therapies",3,7,7,0,7
"cilia",0,64,1,19,24
"cilia",1,6,6,0,6
"cilia",2,3,3,0,3
"cilia",3,2,2,0,2
"clinical and molecular allergy",0,116,1,0,28
"clinical and molecular allergy",1,21,21,0,21
"clinical and molecular allergy",2,5,5,0,4
"clinical and molecular allergy",3,2,2,0,2
"clinical and translational allergy",0,234,6,0,61
"clinical and translational allergy",1,39,39,0,39
"clinical and translational allergy",2,16,16,0,16
"clinical and translational allergy",3,1,1,0,1
"clinical diabetes and endocrinology",0,24,4,0,24
"clinical diabetes and endocrinology",1,17,17,0,17
"clinical diabetes and endocrinology",2,3,3,0,3
"clinical diabetes and endocrinology",3,1,1,0,1
"clinical epigenetics",0,257,23,102,137
"clinical epigenetics",1,169,169,0,169
"clinical epigenetics",2,46,46,2,44
"clinical epigenetics",3,90,90,7,83
"clinical hypertension",0,51,10,0,44
"clinical hypertension",1,23,23,0,23
"clinical hypertension",2,4,4,0,4
"clinical hypertension",3,4,4,0,4
"clinical practice and epidemiology in mental health : cp & emh",0,333,0,0,73
"clinical practice and epidemiology in mental health : cp & emh",3,1,1,0,1
"clinical proteomics",0,120,2,0,35
"clinical proteomics",1,46,46,0,36
"clinical proteomics",2,24,24,0,24
"clinical proteomics",3,26,26,0,23
"clinical sarcoma research",0,99,12,0,37
"clinical sarcoma research",1,27,27,0,27
"clinical sarcoma research",2,6,6,0,6
"clinical sarcoma research",3,2,2,0,2
"comparative hepatology",0,138,0,0,0
"conflict and health",0,211,9,0,60
"conflict and health",1,42,42,0,42
"conflict and health",2,7,7,0,7
"conflict and health",3,2,2,0,2
"contraception and reproductive medicine",0,19,1,0,19
"contraception and reproductive medicine",1,33,33,0,33
"contraception and reproductive medicine",2,4,4,0,4
"contraception and reproductive medicine",3,4,4,0,4
"cost effectiveness and resource allocation",0,27,0,0,0
"cost effectiveness and resource allocation : c/e",0,214,17,0,47
"cost effectiveness and resource allocation : c/e",1,33,33,0,32
"cost effectiveness and resource allocation : c/e",2,14,14,0,14
"cost effectiveness and resource allocation : c/e",3,3,3,0,3
"cough (london, england)",0,96,0,0,0
"critical care",0,8533,142,0,677
"critical care",1,323,323,0,323
"critical care",2,74,74,0,74
"critical care",3,16,16,0,16
"cytojournal",0,305,0,0,102
"diabetology & metabolic syndrome",0,555,4,0,165
"diabetology & metabolic syndrome",1,126,126,0,126
"diabetology & metabolic syndrome",2,24,24,0,24
"diabetology & metabolic syndrome",3,10,10,0,10
"diagnostic and prognostic research",0,1,0,0,1
"diagnostic pathology",0,1407,22,0,278
"diagnostic pathology",1,120,120,0,120
"diagnostic pathology",2,63,63,0,63
"diagnostic pathology",3,8,8,0,8
"disaster and military medicine",0,23,1,0,14
"disaster and military medicine",1,8,8,0,8
"dynamic medicine",0,59,0,0,0
"ehealth international",0,2,0,0,0
"emerging themes in epidemiology",0,160,3,0,30
"emerging themes in epidemiology",1,19,19,0,19
"environmental health",0,956,13,0,145
"environmental health",1,186,186,0,185
"environmental health",2,16,16,0,16
"environmental health",3,18,18,0,18
"environmental health and preventive medicine",0,38,10,0,34
"environmental health and preventive medicine",1,83,83,0,83
"environmental health and preventive medicine",2,15,15,0,15
"environmental health and preventive medicine",3,2,2,0,2
"epidemiologic perspectives & innovations",0,74,0,0,0
"epigenetics & chromatin",0,281,8,0,68
"epigenetics & chromatin",1,33,33,0,33
"epigenetics & chromatin",2,23,23,0,23
"epigenetics & chromatin",3,102,102,0,96
"european journal of medical research",0,650,9,0,99
"european journal of medical research",1,73,73,0,73
"european journal of medical research",2,19,19,0,19
"european journal of medical research",3,3,3,0,3
"european review of aging and physical activity",0,21,2,0,19
"european review of aging and physical activity",1,26,26,0,26
"european review of aging and physical activity",2,3,3,0,3
"evodevo",0,190,3,0,43
"evodevo",1,15,15,0,15
"evodevo",2,22,22,0,22
"evodevo",3,15,15,0,15
"experimental & translational stroke medicine",0,75,0,0,3
"experimental & translational stroke medicine",1,1,1,0,1
"experimental hematology & oncology",0,128,10,0,46
"experimental hematology & oncology",1,28,28,0,28
"experimental hematology & oncology",2,12,12,0,12
"experimental hematology & oncology",3,2,2,0,2
"extreme physiology & medicine",0,187,1,40,147
"extreme physiology & medicine",1,4,4,2,2
"extreme physiology & medicine",2,3,3,0,3
"extreme physiology & medicine",3,1,1,1,0
"eye and vision",0,57,5,0,50
"eye and vision",1,17,17,0,17
"eye and vision",2,2,2,0,2
"fertility research and practice",0,21,1,0,19
"fertility research and practice",1,20,20,0,20
"fertility research and practice",2,4,4,0,2
"fertility research and practice",3,3,3,0,3
"fibrogenesis & tissue repair",0,113,0,0,16
"fibrogenesis & tissue repair",2,1,1,0,1
"filaria journal",0,60,0,0,0
"fluids and barriers of the cns",0,185,1,0,92
"fluids and barriers of the cns",1,38,38,0,38
"fluids and barriers of the cns",2,13,13,0,13
"fluids and barriers of the cns",3,3,3,0,3
"frontiers in zoology",0,425,11,180,78
"frontiers in zoology",1,50,50,2,48
"frontiers in zoology",2,46,46,7,39
"frontiers in zoology",3,27,27,1,26
"fungal biology and biotechnology",0,23,3,0,17
"fungal biology and biotechnology",1,5,5,0,5
"fungal biology and biotechnology",2,19,19,0,15
"fungal biology and biotechnology",3,4,4,0,3
"genes & nutrition",0,77,2,0,36
"genes & nutrition",1,19,19,0,19
"genes & nutrition",2,15,15,0,15
"genes & nutrition",3,13,13,0,13
"genes and environment",0,49,12,0,49
"genes and environment",1,5,5,0,5
"genes and environment",2,10,10,0,10
"genes and environment",3,1,1,0,1
"genetic vaccines and therapy",0,96,0,0,0
"genetic vaccines and therapy",3,1,1,0,0
"genetics, selection, evolution",0,535,3,0,208
"genetics, selection, evolution",1,69,69,0,69
"genetics, selection, evolution",2,12,12,0,12
"genetics, selection, evolution",3,28,28,0,28
"genome biology",0,2547,6,0,317
"genome biology",1,77,77,0,51
"genome biology",2,22,22,0,19
"genome biology",3,615,615,0,474
"genome integrity",0,50,0,0,18
"genome medicine",0,581,1,0,181
"genome medicine",1,67,67,0,59
"genome medicine",2,24,24,0,24
"genome medicine",3,145,145,0,142
"gigascience",0,54,0,0,54
"gigascience",1,51,51,0,51
"gigascience",2,59,59,0,59
"gigascience",3,266,266,0,266
"global health research and policy",0,13,4,0,13
"global health research and policy",1,49,49,0,49
"global health research and policy",2,6,6,0,6
"global health research and policy",3,9,9,0,9
"globalization and health",0,400,50,0,119
"globalization and health",1,121,121,0,119
"globalization and health",2,25,25,0,25
"globalization and health",3,15,15,0,15
"gut pathogens",0,194,8,91,49
"gut pathogens",1,53,53,0,53
"gut pathogens",2,44,44,2,42
"gut pathogens",3,75,75,19,56
"gynecologic oncology research and practice",0,26,4,0,21
"gynecologic oncology research and practice",1,8,8,0,8
"gynecologic oncology research and practice",2,5,5,0,5
"harm reduction journal",0,394,16,0,80
"harm reduction journal",1,112,112,0,112
"harm reduction journal",2,8,8,0,8
"harm reduction journal",3,2,2,0,2
"head & face medicine",0,365,3,0,44
"head & face medicine",1,37,37,0,37
"head & face medicine",2,18,18,0,18
"head & face medicine",3,3,3,0,3
"head & neck oncology",0,133,0,0,0
"health and quality of life outcomes",0,1677,13,0,284
"health and quality of life outcomes",1,431,431,0,429
"health and quality of life outcomes",2,47,47,0,47
"health and quality of life outcomes",3,14,14,0,14
"health research policy and systems",0,480,44,0,161
"health research policy and systems",1,129,129,0,126
"health research policy and systems",2,23,23,0,23
"health research policy and systems",3,5,5,0,5
"hepatology, medicine and policy",0,12,2,0,12
"hepatology, medicine and policy",1,13,13,0,13
"hepatology, medicine and policy",2,3,3,0,3
"hereditary cancer in clinical practice",0,251,6,0,26
"hereditary cancer in clinical practice",1,17,17,0,17
"hereditary cancer in clinical practice",2,6,6,0,6
"hereditary cancer in clinical practice",3,3,3,0,3
"hereditas",0,21,5,0,21
"hereditas",1,16,16,0,16
"hereditas",2,17,17,0,17
"hereditas",3,12,12,0,12
"herpesviridae",0,19,0,0,0
"human genomics",0,205,7,0,45
"human genomics",1,41,41,0,40
"human genomics",2,24,24,0,23
"human genomics",3,11,11,0,11
"human resources for health",0,566,15,0,136
"human resources for health",1,117,117,0,116
"human resources for health",2,13,13,0,13
"human resources for health",3,6,6,0,6
"immunity & ageing",0,214,5,0,51
"immunity & ageing",1,31,31,0,31
"immunity & ageing",2,9,9,0,9
"immunity & ageing",3,1,1,0,1
"immunome research",0,58,0,0,0
"implementation science",0,1135,52,468,248
"implementation science",1,213,213,5,207
"implementation science",2,24,24,2,22
"implementation science",3,6,6,0,6
"infectious agents and cancer",0,351,6,0,90
"infectious agents and cancer",1,54,54,0,54
"infectious agents and cancer",2,25,25,0,25
"infectious agents and cancer",3,3,3,0,3
"infectious diseases of poverty",0,212,33,0,146
"infectious diseases of poverty",1,149,149,0,149
